museum_number,animal_id,day,month,year,season,final_identification,field_identification,preparation,locality,dist_village_center,village,grid_name,grid_number,habitat_type,trap_type,trap_number,pitfall_position,latitude,longitude,elevation.obs,sex,tl,tv,hf,ear,mass,hb,testicle_position,testicle_length,testicle_width,epididym,mammae_condition,mammae_number_ax,mammae_number_ab,mammae_number_ing,vagina,embryos_l,embryos_r,embryos_cr,placental_scars_l,placental_scars_r,age_repro,age_dental,habitat_description,notes
NA,JPH228,2,8,2018,3,Eliurus ellermani,Eliurus tanala,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,82,NA,-14.46729,49.79722,182,female,378,208,29,18,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,disturbed and secondary forest,"pregnant, 1 embryo"
NA,JPH229,3,8,2018,3,Mus musculus,Mus musculus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 037  ,trap 037",NA,-14.4782,49.81224,91,male,155,79,14,9,4.7,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,rural village,NA
NA,JPH230,4,8,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 040  ,trap 040",NA,-14.47841,49.81572,88,female,311,175,31,29,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,rural village,NA
NA,JPH231,5,8,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Tomahawk,62,NA,-14.46721,49.7972,191,male,398,228,30,20,4.7,NA,NA,38,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,disturbed and secondary forest,NA
NA,JPH232,5,8,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,12,NA,-14.46678,49.79703,186,male,386,201,31,29,4.7,NA,NA,26,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,disturbed and secondary forest,NA
NA,JPH233,5,8,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,99,NA,-14.46763,49.7966,187,female,313,175,29,18,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,disturbed and secondary forest,NA
NA,LJR001,24,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Tomahawk,95,NA,-14.47169,49.80662,123,male,374,213,31,23,130,NA,NA,43,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ricefield and mixed crops,NA
NA,LJR002,24,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Tomahawk,64,NA,-14.47138,49.80667,120,male,384,219,29,24,111,NA,NA,38,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ricefield and mixed crops,NA
NA,LJR003,25,6,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Pitfall,4,low,-14.47061,49.80684,99,male,108,33,11,11,10.2,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ricefield and mixed crops,NA
NA,LJR004,25,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Sherman,81,NA,-14.47143,49.80634,120,male,171,98,21,13,14.4,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ricefield and mixed crops,NA
NA,LJR005,25,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Tomahawk,61,NA,-14.47126,49.80642,118,female,367,199,29,21,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ricefield and mixed crops,NA
NA,LJR006,28,6,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Pitfall,10,high,-14.47216,49.80683,131,female,103,34,11,10,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ricefield and mixed crops,NA
NA,LJR007,28,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Camp,NA,secondary_forest,Sherman,NA,NA,-14.46641,49.7987,139,male,356,199,31,22,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,seconday forest,NA
NA,LJR008,29,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Sherman,84,NA,-14.47156,49.80658,124,female,384,221,32,31,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ricefield and mixed crops,NA
NA,LJR009,29,6,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Edge forest,NA,semi-intact_forest,Pitfall,3,low,-14.46017,49.79295,258,male,104,31,9,8,9.1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,edge forest,NA
NA,LJR010,30,6,2018,3,Setifer setosus,Setifer setosus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Camp,NA,secondary_forest,Sherman,NA,NA,-14.46641,49.7987,139,female,205,19,25,14,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,seconday forest,NA
NA,LJR011,30,6,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Edge forest,NA,semi-intact_forest,Pitfall,6,low,-14.46006,49.79325,232,male,102,36,10,8,7.6,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,edge forest,NA
NA,LJR012,30,6,2018,3,Suncus murinus,Suncus murinus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Pitfall,3,low,-14.47064,49.80678,98,male,138,49,19,11,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ricefield and mixed crops,NA
NA,LJR013,30,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Tomahawk,99,NA,-14.47191,49.80694,121,male,359,206,31,21,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ricefield and mixed crops,NA
NA,LJR014,30,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Antanetybe,NA,flooded_rice,Sherman,41,NA,-14.47108,49.80655,113,female,308,177,26,24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ricefield and mixed crops,NA
NA,LJR015,30,6,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Edge forest,NA,semi-intact_forest,Sherman,37,NA,-14.46072,49.79257,265,male,341,193,31,21,85,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,edge forest,NA
