otu_ID,asv_ID,asv_ID_top,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
206,ASV_1003,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_1103,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_1358,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_1435,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_1934,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_2106,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_2381,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_2534,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_2542,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_2602,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_2882,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_2936,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_3131,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_3238,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_3463,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_3539,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_3572,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_3760,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_386,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_4269,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_6114,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_6452,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_706,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_879,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_920,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
206,ASV_95,ASV_95,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,36,95,Y
207,ASV_10611,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_10841,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1429,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1486,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1511,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1550,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1584,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1682,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1754,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1814,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_1888,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_2149,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_2274,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_2655,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_2958,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
207,ASV_418,ASV_418,unclassified_Parabasalia,Hypotrichomonas_sanderai,Tritrichomonas,Tritrichomonas,17,418,Y
