ASV,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
ASV_2832,Hypotrichomonas,Hypotrichomonas_imitans,,Hypotrichomonas,1,2832,Y
ASV_2061,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,2,2061,Y
ASV_748,Tritrichomonas,Tritrichomonas,,Tritrichomonas,6,748,Y
ASV_755,Tritrichomonas,Tritrichomonas,,Tritrichomonas,3,755,Y
ASV_244,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,37,244,Y
ASV_771,Tritrichomonas,Tritrichomonas,,Tritrichomonas,7,771,Y
ASV_2850,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,2850,Y
ASV_2853,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,2853,Y
ASV_286,Eimeria,Eimeria_sp._ex_Mastomys_natalensis,,Eimeria,3,286,Y
ASV_7456,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,7456,M
ASV_2871,Cyclophyllidea,Hymenolepis_microstoma,,Hymenolepis_microstoma,3,2871,Y
ASV_2882,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,2882,Y
ASV_289,Eimeria,Eimeria,,Eimeria,20,289,Y
ASV_7517,Elev-18S-1089,Apicomplexa,,Apicomplexa,1,7517,M
ASV_8396,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,8396,M
ASV_9821,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,9821,M
ASV_788,Tritrichomonas,Tritrichomonas,,Tritrichomonas,4,788,Y
ASV_9974,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,9974,M
ASV_291,Eimeria,Eimeria,,Eimeria,5,291,Y
ASV_8245,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,8245,Y
ASV_1141,Hexamastix,Eukaryota,Hexamastix,Hexamastix,1,1141,Y
ASV_1488,Hexamastix,Eukaryota,,Hexamastix,1,1488,Y
ASV_2574,Hexamastix,Eukaryota,,Hexamastix,1,2574,Y
ASV_3028,Hexamastix,Eukaryota,,Hexamastix,1,3028,Y
ASV_2460,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,4,2460,Y
ASV_2929,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,2,2929,Y
ASV_5044,Hexamastix,Eukaryota,,Hexamastix,1,5044,Y
ASV_5642,Hexamastix,Eukaryota,,Hexamastix,1,5642,Y
ASV_4747,Microsporidia,Eukaryota,Microsporidia,Microsporidia,1,4747,Y
ASV_2936,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,2936,Y
ASV_861,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,861,Y
ASV_894,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,894,Y
ASV_2943,Ascaridida,Ascaridida,,Ascaridida,1,2943,Y
ASV_295,Blastocystis,Blastocystis_sp._subtype_3,0,Blastocystis,2,295,Y
ASV_2955,Eimeria,Eimeria,,Eimeria,1,2955,Y
ASV_5761,Microsporidia,uncultured_marine_eukaryote,Microsporidia,Microsporidia,1,5761,Y
ASV_2958,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,2,2958,Y
ASV_296,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,17,296,Y
ASV_6079,Microsporidia,Eukaryota,Microsporidia,Microsporidia,1,6079,Y
ASV_2965,Eimeria,Eimeria_myoxi,,Eimeria,3,2965,Y
ASV_6633,Microsporidia,Eukaryota,,Microsporidia,1,6633,Y
ASV_2971,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,3,2971,Y
ASV_8025,Microsporidia,Eukaryota,,Microsporidia,1,8025,Y
ASV_10163,NA,Apicomplexa,,Apicomplexa,1,10163,M
ASV_2070,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,3,2070,Y
ASV_1020,NA,Apicomplexa,,Apicomplexa,1,1020,M
ASV_1029,NA,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,1029,M
ASV_2989,Eimeria,Eimeria,,Eimeria,2,2989,Y
ASV_2999,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,2999,Y
ASV_30,Blastocystis,Blastocystis_sp._subtype_3,0,Blastocystis,2,30,Y
ASV_3003,Eimeria,Eimeria,,Eimeria,2,3003,Y
ASV_3004,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,1,3004,Y
ASV_10596,NA,SAR,,Eukaryota,1,10596,N
ASV_3014,Cyclophyllidea,Cyclophyllidea,,Cyclophyllidea,2,3014,Y
ASV_9207,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,9207,Y
ASV_10672,NA,SAR,,Eukaryota,1,10672,N
ASV_2468,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,4,2468,Y
ASV_2228,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,4,2228,Y
ASV_3024,Eimeria,Eimeria,,Eimeria,2,3024,Y
ASV_933,Tritrichomonas,Tritrichomonas,,Tritrichomonas,4,933,Y
ASV_10675,NA,Apicomplexa,,Apicomplexa,1,10675,M
ASV_2487,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,3,2487,Y
ASV_10973,NA,Cryptosporidium,,Apicomplexa,1,10973,M
ASV_3036,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3036,Y
ASV_3049,Blastocystis,Blastocystis_sp._OSU14,,Blastocystis,1,3049,Y
ASV_9372,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,9372,Y
ASV_2346,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,2,2346,Y
ASV_3053,unclassified_SAR,Cryptosporidium,Colpodella or Cryptosporidium,Apicomplexa,1,3053,M
ASV_97,Tritrichomonas,Tritrichomonas,,Tritrichomonas,26,97,Y
ASV_3062,Eimeria,Eimeria_polita,,Eimeria,2,3062,Y
ASV_3071,Hypotrichomonas,Hypotrichomonas_sanderai,,Hypotrichomonas,1,3071,Y
ASV_3074,Hypotrichomonas,Hypotrichomonas_mariae,,Hypotrichomonas,1,3074,Y
ASV_11315,NA,Apicomplexa,,Apicomplexa,1,11315,M
ASV_9796,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,9796,Y
ASV_11584,NA,Apicomplexa,,Apicomplexa,1,11584,M
ASV_11909,NA,SAR,,Eukaryota,1,11909,N
ASV_31,Blastocystis,Blastocystis_sp._OSU14,,Blastocystis,46,31,Y
ASV_3107,Eimeria,Eimeria,,Eimeria,1,3107,Y
ASV_3109,Eimeria,Eimeria,,Eimeria,1,3109,Y
ASV_1027,Tritrichomonas,Tritrichomonas_muris,,Tritrichomonas,5,1027,Y
